"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","CAWLEY, JIM","16,252","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","DIAMOND, RUSS","1,158","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","JOHNSON, STEVE","4,028","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","KENNEDY, JOHN","5,211","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","MCCUE, BILLY","5,921","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","METCALFE, DARYL","17,993","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","PEPPER, JEAN CRAIGE","4,290","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","URBAN, STEPHEN A.","919","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","ALTMIRE, JASON","23,581","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","BUCHANAN, MARY BETH","8,026","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","ROTHFUS, KEITH","17,350","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","BUCCHIANERI, RYAN","102","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","CRITZ, MARK S.","430","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MACKELL, RONALD RON","44","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","BURNS, TIM","162","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","RUSSELL, WILLIAM","86","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MIKE","71,511","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Republican","HALUSZCZAK, MELISSA","11,585","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","CONNOLLY, DAN","33,610","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Republican","MURPHY, TIM","23,923","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Democratic","FERLO, JIM","21,866","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE","14,688","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Democratic","FONTANA, WAYNE","24,952","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","46th Senatorial District","Democratic","SOLOBAY, TIMOTHY J.","501","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","46th Senatorial District","Republican","VANDERMAN, KRIS","232","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Democratic","MATZIE, ROBERT F.","1,882","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","BRENTLEY, MARK","797","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","PAYNE, TONYA D.","1,643","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","WHEATLEY, JAKE","3,741","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","KELLER, DAN","2,030","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","PURCELL, MARK","2,081","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","RAVENSTAHL, ADAM","3,394","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","TUINSTRA, TIM","888","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Republican","DUBART, ALEX","1,506","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Democratic","COSTA, DOM","6,367","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Democratic","WAGNER, CHELSA","7,643","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Democratic","FRANKEL, DAN B.","8,306","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Republican","WISEMAN, DANIEL ULRICH","760","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","ANDERSON, WILLIAM","1,368","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","KOGER, TODD ELLIOTT","1,096","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","PRESTON, JOSEPH","4,702","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Democratic","MARKOSEK, JOSEPH F.","5,405","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Republican","DOYLE, MIKE","2,680","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Democratic","DEASY, DANIEL J.","6,405","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Democratic","BROWN, SHARON","4,172","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Republican","TURZAI, MIKE","7,383","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Republican","VULAKOVICH, RANDY","5,769","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","32nd Legislative District","Democratic","DELUCA, ANTHONY M.","6,372","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Democratic","DERMODY, FRANK","5,914","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Republican","VAEREWYCK, GERRY","3,259","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","34th Legislative District","Democratic","COSTA, PAUL","6,104","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","34th Legislative District","Democratic","DODARO, RICHARD M.","2,132","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","35th Legislative District","Democratic","GERGELY, MARC J.","6,346","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","36th Legislative District","Democratic","READSHAW, HARRY","7,069","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","38th Legislative District","Democratic","KORTZ, BILL","7,631","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Democratic","LEVDANSKY, DAVID K.","5,100","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Republican","HESS, SHAWN M.","1,078","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Republican","SACCONE, RICK","1,516","0","0","","","","","","","","",""
