"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2001 Special Election for the 9th Congressional District","BEDFORD","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","6,847","6,847","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","BEDFORD","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","4,021","4,021","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","BEDFORD","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","327","327","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","BLAIR","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","15,203","15,203","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","BLAIR","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","10,384","10,384","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","BLAIR","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","860","860","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","CENTRE","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","1,393","1,393","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","CENTRE","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","2,233","2,233","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","CENTRE","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","192","192","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","CLEARFIELD","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","6,569","6,569","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","CLEARFIELD","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","8,981","8,981","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","CLEARFIELD","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","691","691","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","FRANKLIN","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","8,793","8,793","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","FRANKLIN","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","8,328","8,328","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","FRANKLIN","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","1,126","1,126","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","FULTON","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","1,432","1,432","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","FULTON","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","1,168","1,168","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","FULTON","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","76","76","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","HUNTINGDON","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","4,887","4,887","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","HUNTINGDON","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","4,610","4,610","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","HUNTINGDON","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","412","412","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","JUNIATA","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","2,537","2,537","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","JUNIATA","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","2,113","2,113","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","JUNIATA","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","163","163","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","MIFFLIN","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","3,449","3,449","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","MIFFLIN","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","3,157","3,157","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","MIFFLIN","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","228","228","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","PERRY","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","1,204","1,204","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","PERRY","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","480","480","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","PERRY","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","84","84","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","SNYDER","Representative in Congress","9th Congressional District","Republican","SHUSTER, BILL","3,235","3,235","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","SNYDER","Representative in Congress","9th Congressional District","Democratic","CONKLIN, H. SCOTT","1,574","1,574","0","","","","","","","","",""
"2001 Special Election for the 9th Congressional District","SNYDER","Representative in Congress","9th Congressional District","Green","HARTZOK, ALANNA K.","261","261","0","","","","","","","","",""
