"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2005 Special Election for the 4th Senatorial District","MONTGOMERY","Senator in the General Assembly","4th Senatorial District","Democratic","WASHINGTON, LEANNA M.","6,591","0","0","","","","","","","","",""
"2005 Special Election for the 4th Senatorial District","MONTGOMERY","Senator in the General Assembly","4th Senatorial District","Republican","HOLT, RONALD","3,655","0","0","","","","","","","","",""
"2005 Special Election for the 4th Senatorial District","PHILADELPHIA","Senator in the General Assembly","4th Senatorial District","Democratic","WASHINGTON, LEANNA M.","15,152","0","0","","","","","","","","",""
"2005 Special Election for the 4th Senatorial District","PHILADELPHIA","Senator in the General Assembly","4th Senatorial District","Republican","HOLT, RONALD","789","0","0","","","","","","","","",""
