"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2002 General Election","ADAMS","Governor","StateWide","Republican","FISHER, MIKE","4,762","4,762","","","","","","","","","",""
"2002 General Election","ADAMS","Governor","StateWide","Democratic","CASEY, BOB","2,388","2,388","","","","","","","","","",""
"2002 General Election","ADAMS","Governor","StateWide","Democratic","RENDELL, ED","1,621","1,621","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","EARLL, JANE M.","4,423","4,423","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","KIRKLAND, THADDEUS","149","149","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","KNOLL, CATHERINE BAKER","1,323","1,323","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","KUKOVICH, ALLEN G.","733","733","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","LAWLESS, JOHN A.","260","260","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","PANZA, RON","139","139","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","TRUAX, EDWARD C.","345","345","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","WAGNER, JACK","512","512","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","WILLIAMS, RON","161","161","","","","","","","","","",""
"2002 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","WOODARD, J. DAVID","48","48","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","GLENNON, TOM","400","400","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","JOHNSON, MIKE","215","215","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","4,165","4,165","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","SEARER, LESTER B.","478","478","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MAITLAND, STEPHEN R.","3,094","3,094","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","BERG, MARK D.","2,141","2,141","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","1,897","1,897","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","PANEBAKER, BILL","990","990","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Republican","FISHER, MIKE","37,466","37,466","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Democratic","CASEY, BOB","94,719","94,719","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Democratic","RENDELL, ED","80,120","80,120","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","EARLL, JANE M.","31,809","31,809","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","KIRKLAND, THADDEUS","1,598","1,598","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","KNOLL, CATHERINE BAKER","46,013","46,013","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","KUKOVICH, ALLEN G.","25,425","25,425","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","LAWLESS, JOHN A.","767","767","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","PANZA, RON","8,068","8,068","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","TRUAX, EDWARD C.","456","456","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","WAGNER, JACK","78,591","78,591","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","WILLIAMS, RON","1,023","1,023","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","WOODARD, J. DAVID","2,411","2,411","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","HART, MELISSA","12,602","12,602","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","DROBAC, STEVAN","4,440","4,440","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","PURCELL, MARK A.","18,498","18,498","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","CHOBY, BILL","88","88","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MASCARA, FRANK","136","136","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MURTHA, JOHN P.","449","449","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MIKE","72,886","72,886","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Republican","MURPHY, TIM","14,260","14,260","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","DOMSKE, BOB","5,590","5,590","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","MACHEK, JACK","13,061","13,061","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","MAGGI, LARRY","12,892","12,892","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Republican","TOMSON, TED","3,209","3,209","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Democratic","DICARLO, BONNIE","8,587","8,587","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Democratic","FERLO, JIM","17,007","17,007","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE C.","8,241","8,241","","","","","","","","","",""
