"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"37th Senatorial Special Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Democratic","ARNET, HEATHER","23,448","0","0","","","","","","","","",""
"37th Senatorial Special Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Republican","RESCHENTHALER, GUY","27,071","0","0","","","","","","","","",""
"37th Senatorial Special Election","WASHINGTON","Senator in the General Assembly","37th Senatorial District","Democratic","ARNET, HEATHER","1,440","0","0","","","","","","","","",""
"37th Senatorial Special Election","WASHINGTON","Senator in the General Assembly","37th Senatorial District","Republican","RESCHENTHALER, GUY","3,494","0","0","","","","","","","","",""
