"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2018 Special Election 178th Legislative District","BUCKS","Representative in the General Assembly","178th Legislative District","Democratic","TAI, HELEN D","6,366","0","0","","","","","","","","",""
"2018 Special Election 178th Legislative District","BUCKS","Representative in the General Assembly","178th Legislative District","Republican","THOMAS, WENDI","6,265","0","0","","","","","","","","",""
