"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2011 Municipal Election","ADAMS","Justice of the Supreme Court (Retention)","StateWide","","EAKIN, J MICHAEL","0","9,211","2,651","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","8,713","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","5,133","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Superior Court (Retention)","StateWide","","BENDER, JOHN  T","0","8,422","2,887","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Superior Court (Retention)","StateWide","","BOWES, MARY JANE","0","8,652","2,745","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","9,050","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","4,852","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court (Retention)","StateWide","","JUBELIRER, RENEE COHN","0","8,121","3,131","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court (Retention)","StateWide","","LEAVITT, MARY HANNAH","0","8,367","2,906","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court (Retention)","StateWide","","SIMPSON, ROBIN","0","8,543","2,778","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Court of Common Pleas (Retention)","51st Judicial District (Adams County)","","GEORGE, MICHAEL A","0","9,671","2,502","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Justice of the Supreme Court (Retention)","StateWide","","EAKIN, J MICHAEL","0","132,505","48,549","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","66,841","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","162,564","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court (Retention)","StateWide","","BENDER, JOHN  T","0","129,728","48,972","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court (Retention)","StateWide","","BOWES, MARY JANE","0","132,969","47,243","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","96,251","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","125,016","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court (Retention)","StateWide","","JUBELIRER, RENEE COHN","0","126,551","50,961","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court (Retention)","StateWide","","LEAVITT, MARY HANNAH","0","128,576","48,740","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court (Retention)","StateWide","","SIMPSON, ROBIN","0","128,873","48,362","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican / Democratic","BICKET, ALEXANDER P","154,129","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican / Democratic","MARMO, MIKE","175,089","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","CASHMAN, DAVID R","0","136,608","46,600","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","DEANGELIS, GUIDO A","0","128,298","51,099","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","DELLA VECCHIA, MICHAEL A","0","137,445","46,664","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","DURKIN, KATHLEEN A","0","138,406","44,567","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","TODD, RANDY","0","129,066","49,233","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Justice of the Supreme Court (Retention)","StateWide","","EAKIN, J MICHAEL","0","8,645","3,896","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","6,101","0","0","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","7,281","0","0","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Superior Court (Retention)","StateWide","","BENDER, JOHN  T","0","8,311","4,035","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Superior Court (Retention)","StateWide","","BOWES, MARY JANE","0","8,485","3,814","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","8,334","0","0","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","4,881","0","0","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court (Retention)","StateWide","","JUBELIRER, RENEE COHN","0","7,997","4,188","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court (Retention)","StateWide","","LEAVITT, MARY HANNAH","0","8,129","4,040","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court (Retention)","StateWide","","SIMPSON, ROBIN","0","8,244","3,969","","","","","","","","",""
"2011 Municipal Election","ARMSTRONG","Judge of the Court of Common Pleas (Retention)","33rd Judicial District (Armstrong County)","","VALASEK, KENNETH G","0","9,281","3,670","","","","","","","","",""
"2011 Municipal Election","BEAVER","Justice of the Supreme Court (Retention)","StateWide","","EAKIN, J MICHAEL","0","20,473","7,664","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","11,110","0","0","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","20,927","0","0","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Superior Court (Retention)","StateWide","","BENDER, JOHN  T","0","19,693","7,853","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Superior Court (Retention)","StateWide","","BOWES, MARY JANE","0","20,107","7,551","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","14,993","0","0","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","16,452","0","0","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Commonwealth Court (Retention)","StateWide","","JUBELIRER, RENEE COHN","0","19,286","8,076","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Commonwealth Court (Retention)","StateWide","","LEAVITT, MARY HANNAH","0","19,675","7,779","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Commonwealth Court (Retention)","StateWide","","SIMPSON, ROBIN","0","19,792","7,650","","","","","","","","",""
"2011 Municipal Election","BEAVER","Judge of the Court of Common Pleas (Retention)","36th Judicial District (Beaver County","","KWIDIS, C. GUS","0","23,820","6,629","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Justice of the Supreme Court (Retention)","StateWide","","EAKIN, J MICHAEL","0","7,490","3,407","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","7,370","0","0","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","5,048","0","0","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Superior Court (Retention)","StateWide","","BENDER, JOHN  T","0","7,068","3,632","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Superior Court (Retention)","StateWide","","BOWES, MARY JANE","0","7,188","3,415","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","8,699","0","0","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","3,630","0","0","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Commonwealth Court (Retention)","StateWide","","JUBELIRER, RENEE COHN","0","6,856","3,919","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Commonwealth Court (Retention)","StateWide","","LEAVITT, MARY HANNAH","0","6,918","3,663","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Commonwealth Court (Retention)","StateWide","","SIMPSON, ROBIN","0","7,245","3,446","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Court of Common Pleas","57th Judicial District (Bedford County)","Republican","LIVENGOOD, TRAVIS W","7,775","0","0","","","","","","","","",""
"2011 Municipal Election","BEDFORD","Judge of the Court of Common Pleas","57th Judicial District (Bedford County)","Democratic","ZANONI, ANTHONY J","5,413","0","0","","","","","","","","",""
"2011 Municipal Election","BERKS","Justice of the Supreme Court (Retention)","StateWide","","EAKIN, J MICHAEL","0","25,780","10,916","","","","","","","","",""
"2011 Municipal Election","BERKS","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","24,799","0","0","","","","","","","","",""
"2011 Municipal Election","BERKS","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","23,605","0","0","","","","","","","","",""
"2011 Municipal Election","BERKS","Judge of the Superior Court (Retention)","StateWide","","BENDER, JOHN  T","0","24,927","11,103","","","","","","","","",""
"2011 Municipal Election","BERKS","Judge of the Superior Court (Retention)","StateWide","","BOWES, MARY JANE","0","25,233","10,711","","","","","","","","",""
