"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2019 Special Election 33rd Senatorial District","ADAMS","Senator in the General Assembly","33rd Senatorial District","Democratic","HAMMOND, SARAH E","3,801","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","ADAMS","Senator in the General Assembly","33rd Senatorial District","Republican","MASTRIANO, DOUG","7,114","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","CUMBERLAND","Senator in the General Assembly","33rd Senatorial District","Democratic","HAMMOND, SARAH E","512","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","CUMBERLAND","Senator in the General Assembly","33rd Senatorial District","Republican","MASTRIANO, DOUG","759","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","FRANKLIN","Senator in the General Assembly","33rd Senatorial District","Democratic","HAMMOND, SARAH E","4,010","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","FRANKLIN","Senator in the General Assembly","33rd Senatorial District","Republican","MASTRIANO, DOUG","10,810","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","YORK","Senator in the General Assembly","33rd Senatorial District","Democratic","HAMMOND, SARAH E","1,167","0","0","","","","","","","","",""
"2019 Special Election 33rd Senatorial District","YORK","Senator in the General Assembly","33rd Senatorial District","Republican","MASTRIANO, DOUG","1,912","0","0","","","","","","","","",""
