"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2001 Municipal Election","ADAMS","Justice of the Supreme Court","StateWide","Republican","EAKIN, MIKE","9,502","9,502","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Justice of the Supreme Court","StateWide","Democratic","FORD ELLIOTT, KATE","4,018","4,018","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Justice of the Supreme Court (Retention)","StateWide","","ZAPPALA, STEPHEN A.","","7,785","3,105","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","BENDER, JOHN T.","7,509","7,509","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","BOWES, MARY JANE","8,592","8,592","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","KLEIN, RICHARD B.","8,865","8,865","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","DOMITROVICH, STEPHANIE","3,443","3,443","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","KIRKLAND, LYDIA Y.","3,895","3,895","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID","3,317","3,317","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Superior Court (Retention)","StateWide","","MCEWEN, STEPHEN J.","","7,994","2,816","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","COHN, RENEE","8,153","8,153","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","LEAVITT, MARY HANNAH","8,102","8,102","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","SIMPSON, ROBIN","8,237","8,237","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","ARONSON, IRWIN W.","3,133","3,133","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","DODARO, JAMES J.","3,767","3,767","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","LANGAN, JERRY","3,751","3,751","","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Commonwealth Court (Retention)","StateWide","","FRIEDMAN, SHELLY","","7,898","2,840","","","","","","","","",""
"2001 Municipal Election","ADAMS","Judge of the Court of Common Pleas","51st Judicial District (Adams County)","Republican / Democratic","GEORGE, MICHAEL A.","12,671","12,671","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Justice of the Supreme Court","StateWide","Republican","EAKIN, MIKE","91,533","91,533","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Justice of the Supreme Court","StateWide","Democratic","FORD ELLIOTT, KATE","132,405","132,405","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Justice of the Supreme Court (Retention)","StateWide","","ZAPPALA, STEPHEN A.","","114,964","27,075","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","BENDER, JOHN T.","77,201","77,201","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","BOWES, MARY JANE","89,724","89,724","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","KLEIN, RICHARD B.","87,039","87,039","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","DOMITROVICH, STEPHANIE","102,968","102,968","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","KIRKLAND, LYDIA Y.","103,520","103,520","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID","139,522","139,522","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Superior Court (Retention)","StateWide","","MCEWEN, STEPHEN J.","","94,339","25,807","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","COHN, RENEE","78,258","78,258","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","LEAVITT, MARY HANNAH","83,143","83,143","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","SIMPSON, ROBIN","78,487","78,487","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","ARONSON, IRWIN W.","101,064","101,064","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","DODARO, JAMES J.","129,355","129,355","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","LANGAN, JERRY","107,913","107,913","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court (Retention)","StateWide","","FRIEDMAN, SHELLY","","92,400","29,200","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican / Democratic","DELLA VECCHIA, MICHAEL A.","190,168","190,168","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican / Democratic","TODD, RANDY","178,780","178,780","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican","RANGOS, JILL E.","101,240","101,240","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic","DEANGELIS, GUIDO A.","105,237","105,237","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Green","MCINTYRE, DANIEL SEAN","9,255","9,255","","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","CASHMAN, DAVID R.","","95,606","27,559","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","CRAIG, CHERYL ALLEN","","96,050","26,272","","","","","","","","",""
"2001 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","DURKIN, KATHLEEN A.","","100,395","24,898","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Justice of the Supreme Court","StateWide","Republican","EAKIN, MIKE","7,759","7,759","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Justice of the Supreme Court","StateWide","Democratic","FORD ELLIOTT, KATE","6,647","6,647","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Justice of the Supreme Court (Retention)","StateWide","","ZAPPALA, STEPHEN A.","","6,320","2,673","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","BENDER, JOHN T.","5,264","5,264","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","BOWES, MARY JANE","7,373","7,373","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","KLEIN, RICHARD B.","7,059","7,059","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","DOMITROVICH, STEPHANIE","4,703","4,703","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","KIRKLAND, LYDIA Y.","5,024","5,024","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID","7,169","7,169","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Superior Court (Retention)","StateWide","","MCEWEN, STEPHEN J.","","5,938","2,777","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Republican","COHN, RENEE","7,316","7,316","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Republican","LEAVITT, MARY HANNAH","6,137","6,137","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Republican","SIMPSON, ROBIN","6,301","6,301","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Democratic","ARONSON, IRWIN W.","4,335","4,335","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Democratic","DODARO, JAMES J.","6,327","6,327","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Democratic","LANGAN, JERRY","5,004","5,004","","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court (Retention)","StateWide","","FRIEDMAN, SHELLY","","5,953","2,769","","","","","","","","",""
"2001 Municipal Election","ARMSTRONG","Judge of the Court of Common Pleas (Retention)","33rd Judicial District (Armstrong County)","","VALASEK, KENNETH G.","","7,549","2,151","","","","","","","","",""
"2001 Municipal Election","BEAVER","Justice of the Supreme Court","StateWide","Republican","EAKIN, MIKE","15,686","15,686","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Justice of the Supreme Court","StateWide","Democratic","FORD ELLIOTT, KATE","20,395","20,395","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Justice of the Supreme Court (Retention)","StateWide","","ZAPPALA, STEPHEN A.","","23,515","9,988","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","BENDER, JOHN T.","10,764","10,764","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","BOWES, MARY JANE","13,646","13,646","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","KLEIN, RICHARD B.","14,253","14,253","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","DOMITROVICH, STEPHANIE","19,786","19,786","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","KIRKLAND, LYDIA Y.","15,751","15,751","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID","21,384","21,384","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Superior Court (Retention)","StateWide","","MCEWEN, STEPHEN J.","","21,368","10,564","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Republican","COHN, RENEE","13,904","13,904","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Republican","LEAVITT, MARY HANNAH","12,899","12,899","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Republican","SIMPSON, ROBIN","12,273","12,273","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Democratic","ARONSON, IRWIN W.","15,290","15,290","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Democratic","DODARO, JAMES J.","21,660","21,660","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Democratic","LANGAN, JERRY","17,658","17,658","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Commonwealth Court (Retention)","StateWide","","FRIEDMAN, SHELLY","","21,008","10,654","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Court of Common Pleas","36th Judicial District (Beaver County","Republican","COLAVINCENZO, J. PHILIP","16,021","16,021","","","","","","","","","",""
"2001 Municipal Election","BEAVER","Judge of the Court of Common Pleas","36th Judicial District (Beaver County","Democratic","KWIDIS, C. GUS","22,019","22,019","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Justice of the Supreme Court","StateWide","Republican","EAKIN, MIKE","6,721","6,721","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Justice of the Supreme Court","StateWide","Democratic","FORD ELLIOTT, KATE","3,140","3,140","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Justice of the Supreme Court (Retention)","StateWide","","ZAPPALA, STEPHEN A.","","5,783","2,666","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Republican","BENDER, JOHN T.","5,245","5,245","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Republican","BOWES, MARY JANE","6,103","6,103","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Republican","KLEIN, RICHARD B.","6,266","6,266","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Democratic","DOMITROVICH, STEPHANIE","2,785","2,785","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Democratic","KIRKLAND, LYDIA Y.","2,669","2,669","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID","2,631","2,631","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Superior Court (Retention)","StateWide","","MCEWEN, STEPHEN J.","","5,991","2,492","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Republican","COHN, RENEE","6,003","6,003","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Republican","LEAVITT, MARY HANNAH","5,590","5,590","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Republican","SIMPSON, ROBIN","5,710","5,710","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Democratic","ARONSON, IRWIN W.","2,151","2,151","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Democratic","DODARO, JAMES J.","3,031","3,031","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court","StateWide","Democratic","LANGAN, JERRY","2,648","2,648","","","","","","","","","",""
"2001 Municipal Election","BEDFORD","Judge of the Commonwealth Court (Retention)","StateWide","","FRIEDMAN, SHELLY","","5,877","2,554","","","","","","","","",""
"2001 Municipal Election","BERKS","Justice of the Supreme Court","StateWide","Republican","EAKIN, MIKE","28,605","28,605","","","","","","","","","",""
