"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2003 Special Election for the 99th Legislative District","LANCASTER","Representative in the General Assembly","99th Legislative District","Democratic","JOHNSON, BERNADETTE C.","1,347","0","0","","","","","","","","",""
"2003 Special Election for the 99th Legislative District","LANCASTER","Representative in the General Assembly","99th Legislative District","Republican","DENLINGER, GORDON R.","3,335","0","0","","","","","","","","",""
"2003 Special Election for the 99th Legislative District","LANCASTER","Representative in the General Assembly","99th Legislative District","Green","BONNER, BETH H.","68","0","0","","","","","","","","",""
