"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"9th Senatorial District","CHESTER","Senator in the General Assembly","9th Senatorial District","Democratic","MOLLOY, MARTIN","11,708","0","0","","","","","","","","",""
"9th Senatorial District","CHESTER","Senator in the General Assembly","9th Senatorial District","Republican","KILLION, THOMAS H","15,582","0","0","","","","","","","","",""
"9th Senatorial District","DELAWARE","Senator in the General Assembly","9th Senatorial District","Democratic","MOLLOY, MARTIN","19,825","0","0","","","","","","","","",""
"9th Senatorial District","DELAWARE","Senator in the General Assembly","9th Senatorial District","Republican","KILLION, THOMAS H","26,031","0","0","","","","","","","","",""
