"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2018 Special Election 7th Congressional District","BERKS","Representative in Congress","7th Congressional District","Democratic","SCANLON, MARY GAY","9,703","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","BERKS","Representative in Congress","7th Congressional District","Republican","KIM, PEARL","14,148","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","BERKS","Representative in Congress","7th Congressional District","Green","JOHNSTON, BRIANNA LEE","345","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","BERKS","Representative in Congress","7th Congressional District","Libertarian","SALAS, SANDRA TERESA","439","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","CHESTER","Representative in Congress","7th Congressional District","Democratic","SCANLON, MARY GAY","22,066","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","CHESTER","Representative in Congress","7th Congressional District","Republican","KIM, PEARL","22,662","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","CHESTER","Representative in Congress","7th Congressional District","Green","JOHNSTON, BRIANNA LEE","484","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","CHESTER","Representative in Congress","7th Congressional District","Libertarian","SALAS, SANDRA TERESA","648","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","DELAWARE","Representative in Congress","7th Congressional District","Democratic","SCANLON, MARY GAY","100,387","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","DELAWARE","Representative in Congress","7th Congressional District","Republican","KIM, PEARL","81,688","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","DELAWARE","Representative in Congress","7th Congressional District","Green","JOHNSTON, BRIANNA LEE","1,007","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","DELAWARE","Representative in Congress","7th Congressional District","Libertarian","SALAS, SANDRA TERESA","1,250","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","LANCASTER","Representative in Congress","7th Congressional District","Democratic","SCANLON, MARY GAY","1,780","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","LANCASTER","Representative in Congress","7th Congressional District","Republican","KIM, PEARL","5,644","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","LANCASTER","Representative in Congress","7th Congressional District","Green","JOHNSTON, BRIANNA LEE","93","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","LANCASTER","Representative in Congress","7th Congressional District","Libertarian","SALAS, SANDRA TERESA","103","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","MONTGOMERY","Representative in Congress","7th Congressional District","Democratic","SCANLON, MARY GAY","39,332","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","MONTGOMERY","Representative in Congress","7th Congressional District","Republican","KIM, PEARL","28,361","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","MONTGOMERY","Representative in Congress","7th Congressional District","Green","JOHNSTON, BRIANNA LEE","582","0","0","","","","","","","","",""
"2018 Special Election 7th Congressional District","MONTGOMERY","Representative in Congress","7th Congressional District","Libertarian","SALAS, SANDRA TERESA","737","0","0","","","","","","","","",""
