"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"Special Election - 95th Legislative Distrct","YORK","Representative in the General Assembly","95th Legislative District","Republican","Tate, Bryan K","2,520","0","0","","","","","","","","",""
"Special Election - 95th Legislative Distrct","YORK","Representative in the General Assembly","95th Legislative District","Democratic","Schreiber, Kevin","3,460","0","0","","","","","","","","",""
"Special Election - 95th Legislative Distrct","YORK","Representative in the General Assembly","95th Legislative District","Green","Swartz, William  H. III","521","0","0","","","","","","","","",""
