"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2001 Special Election for the 40th Senatorial District","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE CLARE","26,128","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Democratic","ROONEY, JAMES E.","15,937","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Citizens for America","STEFANICK, JAMES K.","1,039","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","BUTLER","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE CLARE","3,238","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","BUTLER","Senator in the General Assembly","40th Senatorial District","Democratic","ROONEY, JAMES E.","1,409","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","BUTLER","Senator in the General Assembly","40th Senatorial District","Citizens for America","STEFANICK, JAMES K.","67","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","WESTMORELAND","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE CLARE","1,324","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","WESTMORELAND","Senator in the General Assembly","40th Senatorial District","Democratic","ROONEY, JAMES E.","2,718","0","0","","","","","","","","",""
"2001 Special Election for the 40th Senatorial District","WESTMORELAND","Senator in the General Assembly","40th Senatorial District","Citizens for America","STEFANICK, JAMES K.","118","0","0","","","","","","","","",""
