"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2011 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","PATRICK, PAULA A","1,431","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","5,736","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","3,004","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","5,260","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","PANEPINTO, PAUL P","1,737","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","1,639","0","0","","","","","","","","",""
"2011 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","ERNSBERGER, BARBARA BEHREND","1,436","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","PATRICK, PAULA A","13,423","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","STABILE, VIC","26,840","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","WECHT, DAVID N","105,102","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","COVEY, ANNE","28,038","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","PANEPINTO, PAUL P","12,024","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","BOOCKVAR, KATHRYN","23,352","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","ERNSBERGER, BARBARA BEHREND","80,329","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican","BICKET, ALEXANDER P","21,180","0","0","","","","","","","","",""
"2011 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican","BUSH, ELEANOR","8,446","0","0","","","","","","","","",""
