"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2019 Special Election 37th Senatorial District","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Democratic","IOVINO, PAM","31,174","0","0","","","","","","","","",""
"2019 Special Election 37th Senatorial District","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Republican","RAJA, D","27,026","0","0","","","","","","","","",""
"2019 Special Election 37th Senatorial District","WASHINGTON","Senator in the General Assembly","37th Senatorial District","Democratic","IOVINO, PAM","2,227","0","0","","","","","","","","",""
"2019 Special Election 37th Senatorial District","WASHINGTON","Senator in the General Assembly","37th Senatorial District","Republican","RAJA, D","3,828","0","0","","","","","","","","",""
