"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2010 General Election","ADAMS","United States Senator","StateWide","Democratic","SESTAK, JOE","9,534","0","0","","","","","","","","",""
"2010 General Election","ADAMS","United States Senator","StateWide","Republican","TOOMEY, PAT","21,567","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Democratic","ONORATO, DAN","8,474","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Republican","CORBETT, TOM","22,696","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in Congress","19th Congressional District","Democratic","SANDERS, RYAN S.","6,817","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","22,900","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in Congress","19th Congressional District","Independent Patriots","MONIGHAN, JOSHUA","1,498","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","MAITLAND, DERF W.","6,113","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL, DAN","14,005","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","STRAUSBAUGH, MIKE","2,578","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","TALLMAN, WILL","8,428","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","SESTAK, JOE","232,996","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","United States Senator","StateWide","Republican","TOOMEY, PAT","192,257","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Democratic","ONORATO, DAN","213,429","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Republican","CORBETT, TOM","213,889","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","ALTMIRE, JASON","55,813","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","ROTHFUS, KEITH","56,273","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","CRITZ, MARK S.","774","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","BURNS, TIM","652","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MIKE","122,073","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Republican","HALUSZCZAK, MELISSA","49,997","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Green","BORTZ, ED","5,400","0","0","","","","","","","","",""
