"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2010 Special Election for the 20th Legislative District","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","RAVENSTAHL, ADAM J.","5,645","0","0","","","","","","","","",""
"2010 Special Election for the 20th Legislative District","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Republican","DUBART, ALEX","2,479","0","0","","","","","","","","",""
"2010 Special Election for the 20th Legislative District","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Libertarian","PUTMAN, DARYL","864","0","0","","","","","","","","",""
