"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2006 General Election","ADAMS","United States Senator","StateWide","Democratic","CASEY, BOB","13,587","0","0","","","","","","","","",""
"2006 General Election","ADAMS","United States Senator","StateWide","Republican","SANTORUM, RICK","16,649","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Governor","StateWide","Democratic","RENDELL, ED","13,034","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Governor","StateWide","Republican","SWANN, LYNN","17,084","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in Congress","19th Congressional District","Democratic","AVILLO, PHILIP J.","10,754","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","18,373","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in Congress","19th Congressional District","Green","MAITLAND, DERF W.","1,158","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","NAUGLE, PATRICK L.","8,074","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL, DAN","10,107","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Green","SMALLWOOD, LYNN","1,317","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","PANEBAKER, BILL","2,828","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","7,267","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Green","MARTI, THOMAS J.","451","0","0","","","","","","","","",""
"2006 General Election","ADAMS","Persian Gulf Conflict Veteran's Compensation Fund Referendum","","","","0","13,659","12,201","0","","","0","","","0","",""
"2006 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","CASEY, BOB","298,096","0","0","","","","","","","","",""
"2006 General Election","ALLEGHENY","United States Senator","StateWide","Republican","SANTORUM, RICK","161,144","0","0","","","","","","","","",""
"2006 General Election","ALLEGHENY","Governor","StateWide","Democratic","RENDELL, ED","275,227","0","0","","","","","","","","",""
"2006 General Election","ALLEGHENY","Governor","StateWide","Republican","SWANN, LYNN","184,063","0","0","","","","","","","","",""
