"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2009 Special Election for the 124th Legislative District","BERKS","Representative in the General Assembly","124th Legislative District","Democratic","MACKEY, BILL","618","0","0","","","","","","","","",""
"2009 Special Election for the 124th Legislative District","BERKS","Representative in the General Assembly","124th Legislative District","Republican","KNOWLES, JERRY","1,394","0","0","","","","","","","","",""
"2009 Special Election for the 124th Legislative District","SCHUYLKILL","Representative in the General Assembly","124th Legislative District","Democratic","MACKEY, BILL","2,392","0","0","","","","","","","","",""
"2009 Special Election for the 124th Legislative District","SCHUYLKILL","Representative in the General Assembly","124th Legislative District","Republican","KNOWLES, JERRY","5,616","0","0","","","","","","","","",""
