"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 Special Election for the 40th Senatorial District","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","VULAKOVICH, RANDY","12,065","0","0","","","","","","","","",""
"2012 Special Election for the 40th Senatorial District","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Democratic","BROWN, SHARON","4,704","0","0","","","","","","","","",""
"2012 Special Election for the 40th Senatorial District","BUTLER","Senator in the General Assembly","40th Senatorial District","Republican","VULAKOVICH, RANDY","4,235","0","0","","","","","","","","",""
"2012 Special Election for the 40th Senatorial District","BUTLER","Senator in the General Assembly","40th Senatorial District","Democratic","BROWN, SHARON","1,322","0","0","","","","","","","","",""
