"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2020 Special Election 48th Senatorial Distirct","DAUPHIN","Senator in the General Assembly","48th Senatorial District","Democratic","SCHROEDER, MICHAEL","2,034","0","0","","","","","","","","",""
"2020 Special Election 48th Senatorial Distirct","DAUPHIN","Senator in the General Assembly","48th Senatorial District","Republican","ARNOLD, DAVID J","2,923","0","0","","","","","","","","",""
"2020 Special Election 48th Senatorial Distirct","LEBANON","Senator in the General Assembly","48th Senatorial District","Democratic","SCHROEDER, MICHAEL","5,883","0","0","","","","","","","","",""
"2020 Special Election 48th Senatorial Distirct","LEBANON","Senator in the General Assembly","48th Senatorial District","Republican","ARNOLD, DAVID J","12,423","0","0","","","","","","","","",""
"2020 Special Election 48th Senatorial Distirct","YORK","Senator in the General Assembly","48th Senatorial District","Democratic","SCHROEDER, MICHAEL","2,033","0","0","","","","","","","","",""
"2020 Special Election 48th Senatorial Distirct","YORK","Senator in the General Assembly","48th Senatorial District","Republican","ARNOLD, DAVID J","2,888","0","0","","","","","","","","",""
