"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2014 General Election","ADAMS","Governor","Statewide","Republican","CORBETT, THOMAS W. JR","16,790","0","0","","","","","","","","",""
"2014 General Election","ADAMS","Governor","Statewide","Democratic","WOLF, THOMAS W","11,130","0","0","","","","","","","","",""
"2014 General Election","ADAMS","Representative in Congress","4th Congressional District","Republican","PERRY, SCOTT","21,046","0","0","","","","","","","","",""
"2014 General Election","ADAMS","Representative in Congress","4th Congressional District","Democratic","THOMPSON, LINDA DELIAH","6,521","0","0","","","","","","","","",""
"2014 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL, DANIEL P","14,052","0","0","","","","","","","","",""
"2014 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","TALLMAN, WILL F","7,647","0","0","","","","","","","","",""
"2014 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","BART, PAUL J JR","2,449","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Governor","Statewide","Republican","CORBETT, THOMAS W. JR","148,057","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Governor","Statewide","Democratic","WOLF, THOMAS W","207,017","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH","51,466","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R","34,517","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MICHAEL F JR","145,296","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Republican","MURPHY, TIMOTHY F","68,922","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Republican","VULAKOVICH, RUDOLPH P","58,599","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Democratic","FONTANA, WAYNE D","53,080","0","0","","","","","","","","",""
