"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2003 Special Election for the 27th Senatorial District","COLUMBIA","Senator in the General Assembly","27th Senatorial District","Democratic","SHELHAMER, KENT D.","2,960","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","COLUMBIA","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R.","11,041","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","COLUMBIA","Senator in the General Assembly","27th Senatorial District","Reform","PYLE, ROBERT L.","262","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","DAUPHIN","Senator in the General Assembly","27th Senatorial District","Democratic","SHELHAMER, KENT D.","705","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","DAUPHIN","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R.","1,988","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","DAUPHIN","Senator in the General Assembly","27th Senatorial District","Reform","PYLE, ROBERT L.","108","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","LUZERNE","Senator in the General Assembly","27th Senatorial District","Democratic","SHELHAMER, KENT D.","1,040","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","LUZERNE","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R.","1,365","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","LUZERNE","Senator in the General Assembly","27th Senatorial District","Reform","PYLE, ROBERT L.","98","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","MONTOUR","Senator in the General Assembly","27th Senatorial District","Democratic","SHELHAMER, KENT D.","1,330","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","MONTOUR","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R.","2,617","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","MONTOUR","Senator in the General Assembly","27th Senatorial District","Reform","PYLE, ROBERT L.","178","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","NORTHUMBERLAND","Senator in the General Assembly","27th Senatorial District","Democratic","SHELHAMER, KENT D.","7,438","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","NORTHUMBERLAND","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R.","9,992","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","NORTHUMBERLAND","Senator in the General Assembly","27th Senatorial District","Reform","PYLE, ROBERT L.","1,247","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","SNYDER","Senator in the General Assembly","27th Senatorial District","Democratic","SHELHAMER, KENT D.","1,656","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","SNYDER","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R.","3,663","0","0","","","","","","","","",""
"2003 Special Election for the 27th Senatorial District","SNYDER","Senator in the General Assembly","27th Senatorial District","Reform","PYLE, ROBERT L.","1,142","0","0","","","","","","","","",""
