"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","ADAMS","President of the United States","StateWide","Republican","GINGRICH, NEWT","1,094","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Republican","PAUL, RON","1,160","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Republican","ROMNEY, MITT","5,219","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Republican","SANTORUM, RICK","1,637","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Democratic","OBAMA, BARACK","2,663","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Republican","CHRISTIAN, DAVID ALAN","596","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Republican","ROHRER, SAM","2,126","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Republican","SCARINGI, MARC A","1,074","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Republican","SMITH, TOM","3,130","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Republican","WELCH, STEVEN D","1,602","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Democratic","CASEY, JR, BOB","2,726","0","0","","","","","","","","",""
"2012 General Election","ADAMS","United States Senator","StateWide","Democratic","VODVARKA, JOSEPH JOHN","474","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Attorney General","StateWide","Republican","FREED, DAVID J","7,548","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Attorney General","StateWide","Democratic","KANE, KATHLEEN G","2,202","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Attorney General","StateWide","Democratic","MURPHY, PATRICK","1,075","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Auditor General","StateWide","Republican","MAHER, JOHN","4,012","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Auditor General","StateWide","Republican","PINTO, FRANK A","3,786","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Auditor General","StateWide","Democratic","DEPASQUALE, EUGENE A","2,818","0","0","","","","","","","","",""
