"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2020 Special Election 8th Legislative District","BUTLER","Representative in the General Assembly","8th Legislative District","Democratic","HEASLEY, PHIL","528","0","0","","","","","","","","",""
"2020 Special Election 8th Legislative District","BUTLER","Representative in the General Assembly","8th Legislative District","Republican","BONNER, TIMOTHY R","1,224","0","0","","","","","","","","",""
"2020 Special Election 8th Legislative District","MERCER","Representative in the General Assembly","8th Legislative District","Democratic","HEASLEY, PHIL","800","0","0","","","","","","","","",""
"2020 Special Election 8th Legislative District","MERCER","Representative in the General Assembly","8th Legislative District","Republican","BONNER, TIMOTHY R","2,776","0","0","","","","","","","","",""
