"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2000 General Election","ADAMS","President of the United States","StateWide","Republican","BAUER, GARY","96","96","","","","","","","","","",""
"2000 General Election","ADAMS","President of the United States","StateWide","Republican","BUSH, GEORGE W.","6,196","6,196","","","","","","","","","",""
"2000 General Election","ADAMS","President of the United States","StateWide","Republican","FORBES, STEVE","113","113","","","","","","","","","",""
"2000 General Election","ADAMS","President of the United States","StateWide","Republican","MCCAIN, JOHN","1,526","1,526","","","","","","","","","",""
"2000 General Election","ADAMS","President of the United States","StateWide","Democratic","BRADLEY, BILL","788","788","","","","","","","","","",""
"2000 General Election","ADAMS","President of the United States","StateWide","Democratic","GORE, AL","2,482","2,482","","","","","","","","","",""
"2000 General Election","ADAMS","President of the United States","StateWide","Democratic","LAROUCHE, LYNDON H.","57","57","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Republican","SANTORUM, RICK","7,275","7,275","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Democratic","BERG, PHIL","69","69","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Democratic","FOLEY, TOM","1,573","1,573","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Democratic","KLINK, RON","624","624","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Democratic","LEVIN, MURRAY","81","81","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Democratic","ROVNER, BOB","403","403","","","","","","","","","",""
"2000 General Election","ADAMS","United States Senator","StateWide","Democratic","SCHWARTZ, ALLYSON Y.","635","635","","","","","","","","","",""
"2000 General Election","ADAMS","Attorney General","StateWide","Republican","FISHER, MIKE","7,329","7,329","","","","","","","","","",""
"2000 General Election","ADAMS","Attorney General","StateWide","Democratic","EISENHOWER, JIM","1,461","1,461","","","","","","","","","",""
"2000 General Election","ADAMS","Attorney General","StateWide","Democratic","MORGANELLI, JOHN M.","1,703","1,703","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Republican","TRUE, KATIE","7,049","7,049","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Democratic","CASEY, BOB","3,167","3,167","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Republican","HAFER, BARBARA","7,160","7,160","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Democratic","KNOLL, CATHERINE BAKER","3,175","3,175","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","GEROW, CHARLIE","1,211","1,211","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","MASLAND, AL","2,921","2,921","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","1,421","1,421","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","REILLY, CHRISTOPHER B.","362","362","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","STEWART, DICK","2,214","2,214","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Democratic","MORAN, JOHN J.","1,144","1,144","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in Congress","19th Congressional District","Democratic","SANDERS, JEFF","1,992","1,992","","","","","","","","","",""
"2000 General Election","ADAMS","Senator in the General Assembly","33rd Senatorial District","Republican","PUNT, TERRY","7,437","7,437","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MAITLAND, STEPHEN R.","5,322","5,322","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","JONES, ROBERT E.","2,212","2,212","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","2,048","2,048","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Republican","BAUER, GARY","734","734","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Republican","BUSH, GEORGE W.","35,932","35,932","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Republican","FORBES, STEVE","1,556","1,556","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Republican","MCCAIN, JOHN","10,659","10,659","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Democratic","BRADLEY, BILL","29,814","29,814","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Democratic","GORE, AL","99,585","99,585","","","","","","","","","",""
"2000 General Election","ALLEGHENY","President of the United States","StateWide","Democratic","LAROUCHE, LYNDON H.","5,705","5,705","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Republican","SANTORUM, RICK","40,457","40,457","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","BERG, PHIL","1,052","1,052","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","FOLEY, TOM","18,333","18,333","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","KLINK, RON","102,890","102,890","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","LEVIN, MURRAY","1,520","1,520","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","ROVNER, BOB","1,776","1,776","","","","","","","","","",""
"2000 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","SCHWARTZ, ALLYSON Y.","22,037","22,037","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Attorney General","StateWide","Republican","FISHER, MIKE","45,100","45,100","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Attorney General","StateWide","Democratic","EISENHOWER, JIM","54,393","54,393","","","","","","","","","",""
