"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2019 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Democratic","TARASI, BETH","1,892","0","0","","","","","","","","",""
"2019 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Democratic","MCCAFFERY, DANIEL D","1,244","0","0","","","","","","","","",""
"2019 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Democratic","GREEN-HAWKINS, AMANDA","1,852","0","0","","","","","","","","",""
"2019 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Republican","WARREN, REBECCA L","2,711","0","0","","","","","","","","",""
"2019 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Republican","MCCARTHY KING, MEGAN","2,692","0","0","","","","","","","","",""
"2019 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Republican","PECK, CHRISTYLEE","4,439","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Democratic","TARASI, BETH","75,148","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Democratic","MCCAFFERY, DANIEL D","20,607","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Democratic","GREEN-HAWKINS, AMANDA","78,534","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Republican","WARREN, REBECCA L","15,868","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Republican","MCCARTHY KING, MEGAN","21,437","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Republican","PECK, CHRISTYLEE","17,773","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas - Allegheny","5th Judicial District (Allegheny County)","Democratic","HEYM, GEORGE A","9,366","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas - Allegheny","5th Judicial District (Allegheny County)","Democratic","MCGINLEY, MARY C","79,444","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas - Allegheny","5th Judicial District (Allegheny County)","Democratic","JOYCE, RICHARD J","9,586","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas - Allegheny","5th Judicial District (Allegheny County)","Democratic","MALKIN, BRIAN SAMUEL","6,574","0","0","","","","","","","","",""
"2019 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas - Allegheny","5th Judicial District (Allegheny County)","Republican","MCGINLEY, MARY C","29,572","0","0","","","","","","","","",""
"2019 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Democratic","TARASI, BETH","2,470","0","0","","","","","","","","",""
"2019 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Democratic","MCCAFFERY, DANIEL D","657","0","0","","","","","","","","",""
"2019 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Democratic","GREEN-HAWKINS, AMANDA","2,276","0","0","","","","","","","","",""
"2019 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Republican","WARREN, REBECCA L","2,897","0","0","","","","","","","","",""
"2019 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Republican","MCCARTHY KING, MEGAN","3,315","0","0","","","","","","","","",""
"2019 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Republican","PECK, CHRISTYLEE","3,037","0","0","","","","","","","","",""
"2019 Municipal Election","BEAVER","Judge of the Superior Court","Statewide","Democratic","TARASI, BETH","9,731","0","0","","","","","","","","",""
