"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2019 Special Election 85th Legislative District","SNYDER","Representative in the General Assembly","85th Legislative District","Democratic","RAGER-KAY, JENNIFER","1,127","0","0","","","","","","","","",""
"2019 Special Election 85th Legislative District","SNYDER","Representative in the General Assembly","85th Legislative District","Republican","ROWE, DAVID HUMMER","3,035","0","0","","","","","","","","",""
"2019 Special Election 85th Legislative District","UNION","Representative in the General Assembly","85th Legislative District","Democratic","RAGER-KAY, JENNIFER","2,752","0","0","","","","","","","","",""
"2019 Special Election 85th Legislative District","UNION","Representative in the General Assembly","85th Legislative District","Republican","ROWE, DAVID HUMMER","3,454","0","0","","","","","","","","",""
