"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 Special Election for the 134th Legislative District","BERKS","Representative in the General Assembly","134th Legislative District","Republican","MACKENZIE, RYAN","430","0","0","","","","","","","","",""
"2012 Special Election for the 134th Legislative District","BERKS","Representative in the General Assembly","134th Legislative District","Democratic","SLATTERY, PATRICK","207","0","0","","","","","","","","",""
"2012 Special Election for the 134th Legislative District","LEHIGH","Representative in the General Assembly","134th Legislative District","Republican","MACKENZIE, RYAN","5,627","0","0","","","","","","","","",""
"2012 Special Election for the 134th Legislative District","LEHIGH","Representative in the General Assembly","134th Legislative District","Democratic","SLATTERY, PATRICK","3,845","0","0","","","","","","","","",""
