"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2006 General Election","ADAMS","United States Senator","StateWide","Democratic","CASEY, BOB","3,443","","","","","","","","","","",""
"2006 General Election","ADAMS","United States Senator","StateWide","Democratic","PENNACCHIO, CHUCK","393","","","","","","","","","","",""
"2006 General Election","ADAMS","United States Senator","StateWide","Democratic","SANDALS, ALAN","279","","","","","","","","","","",""
"2006 General Election","ADAMS","United States Senator","StateWide","Republican","SANTORUM, RICK","6,488","","","","","","","","","","",""
"2006 General Election","ADAMS","Governor","StateWide","Democratic","RENDELL, ED","3,393","","","","","","","","","","",""
"2006 General Election","ADAMS","Governor","StateWide","Republican","SWANN, LYNN","6,921","","","","","","","","","","",""
"2006 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","HALL, WILLIAM A.","410","","","","","","","","","","",""
"2006 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","KNOLL, CATHERINE BAKER","2,495","","","","","","","","","","",""
"2006 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","ROBERTS, VALERIE MCDONALD","507","","","","","","","","","","",""
"2006 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","STILP, GENE","477","","","","","","","","","","",""
"2006 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","MATTHEWS, JIM","6,528","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in Congress","19th Congressional District","Democratic","AVILLO, PHILIP J.","3,406","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","6,795","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","HENRY, ALAN","1,123","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","NAUGLE, PATRICK L.","1,699","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MAITLAND, STEPHEN R.","2,265","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL, DAN","2,776","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","PANEBAKER, BILL","1,068","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","HOFF, DEBRA H.","864","","","","","","","","","","",""
"2006 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","2,028","","","","","","","","","","",""
"2006 General Election","ADAMS","Member of the Democratic State Committee","Adams County (District 1)","Democratic","LUND, ROGER","1,822","","","","","","","","","","",""
"2006 General Election","ADAMS","Member of the Democratic State Committee","Adams County (District 1)","Democratic","TROSTLE, GRETCHEN","2,033","","","","","","","","","","",""
"2006 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","DEVINE, NADINE","3,904","","","","","","","","","","",""
"2006 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","MCCLAIN, MARCIA D.","4,104","","","","","","","","","","",""
"2006 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","MICHAEL, LAURA M.","4,410","","","","","","","","","","",""
"2006 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","TALLMAN, WILL F.","4,068","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","CASEY, BOB","114,675","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","PENNACCHIO, CHUCK","10,963","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","SANDALS, ALAN","6,518","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","United States Senator","StateWide","Republican","SANTORUM, RICK","44,235","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Governor","StateWide","Democratic","RENDELL, ED","112,253","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Governor","StateWide","Republican","SWANN, LYNN","50,191","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","HALL, WILLIAM A.","7,173","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","KNOLL, CATHERINE BAKER","76,468","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","ROBERTS, VALERIE MCDONALD","46,392","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","STILP, GENE","4,876","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","MATTHEWS, JIM","45,040","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","ALTMIRE, JASON","16,474","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","BERNER, GEORGIA","6,695","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","HART, MELISSA A.","17,735","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MURTHA, JOHN P","448","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","IREY, DIANA","129","","","","","","","","","","",""
"2006 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MIKE","54,213","","","","","","","","","","",""
