"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2009 Municipal Election","ADAMS","Justice of the Supreme Court","StateWide","Democratic","PANELLA, JACK","5,498","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Justice of the Supreme Court","StateWide","Republican","ORIE MELVIN, JOAN","10,574","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","COLVILLE, ROBERT J","4,139","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","LAZARUS, ANNE E","4,511","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","MCCARTHY, KEVIN FRANCIS","4,495","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Democratic","SARMINA, TERESA","4,748","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","MUNDY, SALLIE","9,334","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","OLSON, JUDY","10,389","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","OTT, PAULA","8,773","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Republican","SMITH, TEMP","7,584","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court","StateWide","Libertarian","ROGERS, MARAKAY J.","1,442","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Superior Court (Retention)","StateWide","","FORD ELLIOTT, KATE","0","8,476","3,844","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","ERNSBERGER, BARBARA BEHREND","4,549","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Democratic","JUDSON, LINDA S","4,888","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","BROBSON, KEVIN","8,948","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Commonwealth Court","StateWide","Republican","MCCULLOUGH, PATRICIA A","9,986","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Commonwealth Court (Retention)","StateWide","","PELLEGRINI, DAN","0","8,051","4,281","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Court of Common Pleas","51st Judicial District (Adams County)","Democratic","RICE, KRISTIN","7,497","0","0","","","","","","","","",""
"2009 Municipal Election","ADAMS","Judge of the Court of Common Pleas","51st Judicial District (Adams County)","Republican","CAMPBELL, THOMAS R","9,530","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Justice of the Supreme Court","StateWide","Democratic","PANELLA, JACK","100,730","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Justice of the Supreme Court","StateWide","Republican","ORIE MELVIN, JOAN","95,733","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","COLVILLE, ROBERT J","122,309","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","LAZARUS, ANNE E","101,782","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","MCCARTHY, KEVIN FRANCIS","99,093","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Democratic","SARMINA, TERESA","100,925","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","MUNDY, SALLIE","71,944","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","OLSON, JUDY","88,724","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","OTT, PAULA","60,676","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Republican","SMITH, TEMP","62,961","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court","StateWide","Libertarian","ROGERS, MARAKAY J.","13,291","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Superior Court (Retention)","StateWide","","FORD ELLIOTT, KATE","0","123,413","53,073","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","ERNSBERGER, BARBARA BEHREND","106,209","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Democratic","JUDSON, LINDA S","104,936","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","BROBSON, KEVIN","73,397","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","StateWide","Republican","MCCULLOUGH, PATRICIA A","79,402","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court (Retention)","StateWide","","PELLEGRINI, DAN","0","123,590","54,446","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic","WALKO, DON","98,488","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic","WILLIAMS, JOE","110,665","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","EVASHAVIK DILUCENTE, SUSAN","135,991","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","IGNELZI, PHIL","138,274","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","KLEIN, ARNIE","133,129","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican","BICKET, ALEX","71,016","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican","ZAPPALA PECK, MICHELE","81,442","0","0","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","CLARK, KIM BERKELEY","0","113,253","47,625","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","COLVILLE, ROBERT","0","127,484","44,102","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","EATON, KIM DIANE","0","110,923","47,264","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","LUTTY, PAUL F.","0","107,218","49,877","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","MANNING, JEFFREY A.","0","120,416","50,663","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","SASINOSKI, KEVIN G.","0","107,924","48,289","","","","","","","","",""
"2009 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","STRASSBURGER, GENE","0","109,909","49,611","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Justice of the Supreme Court","StateWide","Democratic","PANELLA, JACK","4,784","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Justice of the Supreme Court","StateWide","Republican","ORIE MELVIN, JOAN","7,563","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","COLVILLE, ROBERT J","4,734","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","LAZARUS, ANNE E","4,265","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","MCCARTHY, KEVIN FRANCIS","3,938","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Democratic","SARMINA, TERESA","4,292","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","MUNDY, SALLIE","6,434","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","OLSON, JUDY","7,168","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","OTT, PAULA","5,726","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Republican","SMITH, TEMP","4,820","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court","StateWide","Libertarian","ROGERS, MARAKAY J.","1,157","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Superior Court (Retention)","StateWide","","FORD ELLIOTT, KATE","0","7,219","4,536","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Democratic","ERNSBERGER, BARBARA BEHREND","4,563","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Democratic","JUDSON, LINDA S","4,621","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Republican","BROBSON, KEVIN","5,765","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","StateWide","Republican","MCCULLOUGH, PATRICIA A","6,922","0","0","","","","","","","","",""
"2009 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court (Retention)","StateWide","","PELLEGRINI, DAN","0","6,944","4,808","","","","","","","","",""
"2009 Municipal Election","BEAVER","Justice of the Supreme Court","StateWide","Democratic","PANELLA, JACK","12,859","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Justice of the Supreme Court","StateWide","Republican","ORIE MELVIN, JOAN","13,275","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","COLVILLE, ROBERT J","13,070","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","LAZARUS, ANNE E","11,918","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","MCCARTHY, KEVIN FRANCIS","11,114","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Democratic","SARMINA, TERESA","12,766","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","MUNDY, SALLIE","11,640","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","OLSON, JUDY","13,240","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","OTT, PAULA","10,151","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Republican","SMITH, TEMP","8,451","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court","StateWide","Libertarian","ROGERS, MARAKAY J.","2,414","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Superior Court (Retention)","StateWide","","FORD ELLIOTT, KATE","0","15,955","8,623","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Democratic","ERNSBERGER, BARBARA BEHREND","12,974","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Democratic","JUDSON, LINDA S","12,697","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Republican","BROBSON, KEVIN","10,712","0","0","","","","","","","","",""
"2009 Municipal Election","BEAVER","Judge of the Commonwealth Court","StateWide","Republican","MCCULLOUGH, PATRICIA A","11,906","0","0","","","","","","","","",""
